"REF_DATE","GEO","DGUID","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976/1977","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11675","","","","0"
"1976/1977","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","5959","","","","0"
"1976/1977","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5716","","","","0"
"1976/1977","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","93593","","","","0"
"1976/1977","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","48086","","","","0"
"1976/1977","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","45507","","","","0"
"1976/1977","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","122300","","","","0"
"1976/1977","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","62609","","","","0"
"1976/1977","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","59691","","","","0"
"1976/1977","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","16653","","","","0"
"1976/1977","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8531","","","","0"
"1976/1977","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8122","","","","0"
"1976/1977","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","16328","","","","0"
"1976/1977","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","8287","","","","0"
"1976/1977","Saskatchewan","2016A000247","Women+","Persons","249","units","0","v470807","9.3","8041","","","","0"
"1976/1977","Alberta","2016A000248","Total - gender","Persons","249","units","0","v470766","10.1","33882","","","","0"
"1976/1977","Alberta","2016A000248","Men+","Persons","249","units","0","v470767","10.2","17218","","","","0"
"1976/1977","Alberta","2016A000248","Women+","Persons","249","units","0","v470768","10.3","16664","","","","0"
"1976/1977","British Columbia","2016A000259","Total - gender","Persons","249","units","0","v470769","11.1","36239","","","","0"
"1976/1977","British Columbia","2016A000259","Men+","Persons","249","units","0","v470770","11.2","18722","","","","0"
"1976/1977","British Columbia","2016A000259","Women+","Persons","249","units","0","v470771","11.3","17517","","","","0"
"1976/1977","Yukon","2016A000260","Total - gender","Persons","249","units","0","v470772","12.1","449","","","","0"
